iter	RMSE
230	4.057991618
231	4.049258058
232	4.044286238
233	4.03955705
234	4.029472778
235	4.023604854
236	4.010147941
237	4.004466291
238	3.999782205
239	3.992355144
240	3.981753215
241	3.975075515
242	3.96849243
243	3.963698974
244	3.954306921
245	3.945682644
246	3.935462387
247	3.930585173
248	3.92682113
249	3.915714195
250	3.904461582
251	3.893081414
252	3.885095666
253	3.875277949
254	3.870294715
255	3.865173467
256	3.858604028
257	3.855352937
258	3.843092715
259	3.839450545
260	3.833065931
261	3.823630441
262	3.816037909
263	3.812642409
264	3.802722228
265	3.792489962
266	3.78845592
267	3.781828991
268	3.772038447
269	3.757210955
270	3.754261168
271	3.748782802
272	3.745557682
273	3.736961183
274	3.730314946
275	3.726423541
276	3.720638477
277	3.717300516
278	3.707210354
279	3.694229425
280	3.687765713
281	3.680360995
282	3.67349397
283	3.665524805
284	3.662400595
285	3.656620613
286	3.649326342
287	3.642373002
288	3.633991957
289	3.628357415
290	3.624780132
291	3.617604952
292	3.61210121
293	3.601274232
294	3.591869268
295	3.585043908
296	3.579685699
297	3.575080795
298	3.56720209
299	3.561835447
300	3.549147647
301	3.538134205
302	3.532128476
303	3.525219651
304	3.519585487
305	3.511866042
306	3.503990689
307	3.499963069
308	3.494907511
309	3.487973227
310	3.481674724
311	3.47260603
312	3.46841793
313	3.463632639
314	3.451398693
315	3.44678352
316	3.439963408
317	3.438095066
318	3.434724009
319	3.425987476
320	3.416624136
321	3.412707969
322	3.402889242
323	3.395493803
324	3.387240649
325	3.38359416
326	3.374093172
327	3.36732787
328	3.359477757
329	3.353233064
330	3.34348716
331	3.343040911
332	3.333445533
333	3.330028543
334	3.324307201
335	3.318961586
336	3.308505512
337	3.301794903
338	3.291515155
339	3.28319365
340	3.278337254
341	3.267460231
342	3.261416122
343	3.259875831
344	3.252518038
345	3.246998796
346	3.239534343
347	3.235034703
348	3.225712167
349	3.222661095
350	3.215279253
351	3.211877905
352	3.208085648
353	3.200399012
354	3.196851074
355	3.190913622
356	3.181767474
357	3.17406866
358	3.168309535
359	3.164857103
360	3.161687869
361	3.15840726
362	3.154182004
363	3.152482892
364	3.145089275
365	3.140774237
366	3.137630069
367	3.131960035
368	3.127664689
369	3.124504867
370	3.116215184
371	3.109351844
372	3.102142952
373	3.092630656
374	3.084740229
375	3.076427289
376	3.075280241
377	3.072096715
378	3.069978268
379	3.067486172
380	3.058440535
381	3.053486574
382	3.047261957
383	3.04618848
384	3.034966142
385	3.032163363
386	3.02931782
387	3.026303755
388	3.018825923
389	3.016875719
390	3.015332642
391	3.006044361
392	3.000807203
393	2.995161249
394	2.991275402
395	2.990551712
396	2.988498448
397	2.986797736
398	2.978190908
399	2.974738282
400	2.971341112
401	2.963958306
402	2.955243977
403	2.947149445
404	2.943141122
405	2.934101782
406	2.9292446
407	2.922458126
408	2.92210028
409	2.914219938
410	2.905876892
411	2.90550213
412	2.902336322
413	2.899246416
414	2.887426482
415	2.881420855
416	2.880669167
417	2.875481807
418	2.867453584
419	2.860571292
420	2.857153315
421	2.853725646
422	2.847347567
423	2.844430894
424	2.838626119
425	2.829239358
426	2.82835659
427	2.82555497
428	2.823932535
429	2.817989719
430	2.816826591
431	2.811819442
432	2.809398631
433	2.808538508
434	2.803926515
435	2.797530343
436	2.793919771
437	2.789627515
438	2.788782073
439	2.786990921
440	2.783286236
441	2.780270828
442	2.775656279
443	2.77167254
444	2.765738976
445	2.764176495
446	2.757467842
447	2.753167261
448	2.74520705
449	2.74310487
450	2.736253206
451	2.733426286
452	2.725407496
453	2.719100108
454	2.716599196
455	2.710235122
456	2.70061054
457	2.694626946
458	2.692056785
459	2.684619874
460	2.683869253
461	2.680557399
462	2.675092175
463	2.6666177
464	2.661722283
465	2.661412135
466	2.656265565
467	2.651507704
468	2.646530226
469	2.646235024
470	2.6429195
471	2.635984626
472	2.634393676
473	2.631756863
474	2.626954134
475	2.622947541
476	2.620058759
477	2.617508194
478	2.610793047
479	2.604023008
480	2.600192482
481	2.598912956
482	2.596007954
483	2.591051674
484	2.587974219
485	2.582977204
486	2.576434216
487	2.573636037
488	2.567226431
489	2.56485829
490	2.559779428
491	2.5581884
492	2.55475579
493	2.546807455
494	2.546350555
495	2.541354645
496	2.539139602
497	2.536294439
498	2.533760489
499	2.531403535
500	2.523401456
501	2.518647032
502	2.514845663
503	2.508469812
504	2.506940073
505	2.500660692
506	2.495150516
507	2.490772109
508	2.485818752
509	2.481126269
510	2.47270225
511	2.471641662
512	2.465237237
513	2.461278535
514	2.456088326
515	2.448018138
516	2.442023044
517	2.435373758
518	2.431066631
519	2.426896921
520	2.423195173
521	2.4204244
522	2.41688024
523	2.415254244
524	2.412262898
525	2.40994206
526	2.406152025
527	2.401971876
528	2.398097489
529	2.396653778
530	2.394332971
531	2.388891223
532	2.385799635
533	2.38445529
534	2.383414742
535	2.375707997
536	2.37057105
537	2.364101114
538	2.361414003
539	2.357326096
540	2.349595177
541	2.346304912
542	2.343352301
543	2.341900322
544	2.33964662
545	2.334792845
546	2.330809302
547	2.32420735
548	2.320796529
549	2.318680158
550	2.314862409
551	2.309629854
552	2.305033063
553	2.299858001
554	2.295491779
555	2.292761687
556	2.288366631
557	2.285333476
558	2.285090968
559	2.284464343
560	2.278208396
561	2.273517201
562	2.271147615
563	2.268679684
564	2.265206485
565	2.26205315
566	2.259809453
567	2.25935565
568	2.258036776
569	2.250118467
570	2.24805465
571	2.242537098
572	2.239899896
573	2.23608176
574	2.234782243
575	2.230461022
576	2.223415301
577	2.220332506
578	2.217801732
579	2.216578196
580	2.212447868
581	2.212022199
582	2.210363245
583	2.207401309
584	2.206138819
585	2.20024366
586	2.197848809
587	2.196764595
588	2.195605115
589	2.195023463
590	2.191517422
591	2.186190469
592	2.185977023
593	2.182621067
594	2.18001602
595	2.179661165
596	2.178381127
597	2.173306321
598	2.16742487
599	2.166089049
600	2.16455711
601	2.164241141
602	2.160151419
603	2.156184159
604	2.152231734
605	2.148417325
606	2.143516141
607	2.140697041
608	2.140291235
609	2.137480844
610	2.130956553
611	2.127628082
612	2.122119396
613	2.119811041
614	2.119489623
615	2.117240651
616	2.113932266
617	2.110808196
618	2.105721825
619	2.102497403
620	2.097453444
621	2.096882276
622	2.092127257
623	2.090878365
624	2.084260885
625	2.083884919
626	2.080822494
627	2.080619816
628	2.075296832
629	2.06999645
630	2.067222314
631	2.064288293
632	2.061038728
633	2.06077518
634	2.057728931
635	2.053960825
636	2.05161622
637	2.04952098
638	2.046569465
639	2.042244657
640	2.041213084
641	2.036950224
642	2.031729447
643	2.029304228
644	2.025240458
645	2.024223697
646	2.024023779
647	2.020168787
648	2.015042707
649	2.014722865
650	2.014289424
651	2.01302318
652	2.012090336
653	2.005314728
654	1.999540502
655	1.99569155
656	1.992219557
657	1.988286367
658	1.987689522
659	1.984503265
660	1.980218042
661	1.977715751
662	1.977312527
663	1.9745983
664	1.970931229
665	1.969983217
666	1.966425716
667	1.963226334
668	1.961801816
669	1.95693987
670	1.953774967
671	1.949814286
672	1.944353829
673	1.939909303
674	1.939724825
675	1.936587324
676	1.933105804
677	1.928331147
678	1.925957738
679	1.921474977
680	1.915696984
681	1.914761543
682	1.914019112
683	1.910818711
684	1.909834661
685	1.905989452
686	1.900682777
687	1.898121508
688	1.89510253
689	1.894785386
690	1.89452187
691	1.894187624
692	1.892771529
693	1.89254373
694	1.891588841
695	1.887513602
696	1.883964991
697	1.881777294
698	1.878519833
699	1.877338261
700	1.872923898
701	1.871366578
702	1.868979488
703	1.865651312
704	1.863603493
705	1.862560338
706	1.859421819
707	1.857547951
708	1.853086126
709	1.849917581
710	1.847697478
711	1.846785987
712	1.843896481
713	1.842454284
714	1.841306093
715	1.841012685
716	1.838848503
717	1.838290356
718	1.835021539
719	1.834852804
720	1.830625217
721	1.825014658
722	1.823412311
723	1.822939303
724	1.81933254
725	1.815780732
726	1.813786251
727	1.813125578
728	1.810125734
729	1.809875588
730	1.808039351
731	1.805578985
732	1.805438707
733	1.804619336
734	1.801597272
735	1.798620085
736	1.797590875
737	1.796753381
738	1.79508641
739	1.794870434
740	1.790601588
741	1.787419363
742	1.782167114
743	1.777484442
744	1.774646937
745	1.771941834
746	1.771069823
747	1.768841686
748	1.765981595
749	1.762339456
750	1.760704328
751	1.758335596
752	1.754509569
753	1.750602974
754	1.748236583
755	1.747567982
756	1.743691247
757	1.740925179
758	1.737096051
759	1.734170182
760	1.732140539
761	1.729395137
762	1.72914749
763	1.726537898
764	1.726371296
765	1.723713091
766	1.72349326
767	1.721763526
768	1.721505238
769	1.71752833
770	1.71550276
771	1.713203237
772	1.709503325
773	1.706539439
774	1.705302984
775	1.701388941
776	1.700546462
777	1.697702043
778	1.695005983
779	1.694112333
780	1.690509584
781	1.686194627
782	1.683543687
783	1.681948202
784	1.681245277
785	1.681091541
786	1.677856391
787	1.674931714
788	1.674535751
789	1.672382449
790	1.668810781
791	1.668561631
792	1.665821723
793	1.663221944
794	1.660806718
795	1.660555499
796	1.6569861
797	1.656757793
798	1.652013525
799	1.650631042
800	1.649417205
801	1.646481411
802	1.643816925
803	1.643711143
804	1.6419914
805	1.638728017
806	1.636794262
807	1.63289797
808	1.629066919
809	1.626616604
810	1.622269967
811	1.621566968
812	1.621439534
813	1.617074768
814	1.615918619
815	1.614894376
816	1.610350663
817	1.607140108
818	1.606323465
819	1.603499675
820	1.60036883
821	1.597590515
822	1.597333319
823	1.594560807
824	1.591181933
825	1.588057325
826	1.586612377
827	1.584550889
828	1.581989851
829	1.580738358
830	1.580298538
831	1.576035294
832	1.573925494
833	1.573773889
834	1.57235065
835	1.568947369
836	1.56476658
837	1.564666687
838	1.560918254
839	1.557002689
840	1.553021794
841	1.552905372
842	1.551070013
843	1.548504448
844	1.547441375
845	1.545786827
846	1.543435374
847	1.538613571
848	1.536756901
849	1.536230107
850	1.533294745
851	1.533080257
852	1.530498157
853	1.530302029
854	1.530097684
855	1.529901633
856	1.52918749
857	1.52755302
858	1.524239904
859	1.521260263
860	1.520163286
861	1.519908163
862	1.517843512
863	1.516214989
864	1.513765498
865	1.512791262
866	1.510798581
867	1.510689582
868	1.509132643
869	1.508945315
870	1.508895454
871	1.505855174
872	1.505616961
873	1.502717404
874	1.499046088
875	1.496954556
876	1.496817123
877	1.49426191
878	1.490859418
879	1.488298971
880	1.488197415
881	1.485634665
882	1.485543939
883	1.485051123
884	1.484529256
885	1.483089387
886	1.481054308
887	1.480614487
888	1.479107633
889	1.477314559
890	1.473736388
891	1.471187985
892	1.470274728
893	1.467834665
894	1.465907167
895	1.462573124
896	1.459545683
897	1.455142484
898	1.452136777
899	1.448533092
900	1.446548658
901	1.446392258
902	1.442326545
903	1.438197731
904	1.436848255
905	1.433976466
906	1.43128533
907	1.428626984
908	1.428147881
909	1.427960486
910	1.426022711
911	1.42569316
912	1.422347922
913	1.420378267
914	1.417126133
915	1.416161563
916	1.415681948
917	1.413038437
918	1.409545603
919	1.409331236
920	1.406879331
921	1.406683777
922	1.405862339
923	1.405677163
924	1.404984929
925	1.401906646
926	1.399949545
927	1.39985805
928	1.398745078
929	1.395817066
930	1.39231872
931	1.391223121
932	1.389640551
933	1.387949588
934	1.385153381
935	1.383199793
936	1.380871718
937	1.378206468
938	1.373538144
939	1.372062336
940	1.37195789
941	1.371821394
942	1.371351035
943	1.371189801
944	1.368890233
945	1.366579881
946	1.366430139
947	1.363454521
948	1.361001584
949	1.358502368
950	1.358355859
951	1.357028133
952	1.355734358
953	1.352612595
954	1.35156549
955	1.349773978
956	1.346770068
957	1.34550064
958	1.343236627
959	1.343152615
960	1.341052984
961	1.339988317
962	1.339111728
963	1.337319325
964	1.335543736
965	1.335062359
966	1.332471574
967	1.332394227
968	1.33049046
969	1.328098509
970	1.326919014
971	1.324779653
972	1.322366909
973	1.321922267
974	1.318598557
975	1.314992637
976	1.312497506
977	1.310137426
978	1.30857961
979	1.306980701
980	1.303909581
981	1.300830557
982	1.299029131
983	1.296904488
984	1.295439348
985	1.293032244
986	1.291638837
987	1.291510813
988	1.287405757
989	1.28597905
990	1.281698418
991	1.279902365
992	1.277561281
993	1.275711327
994	1.274419503
995	1.273431832
996	1.270357373
997	1.268581444
998	1.267546457
999	1.264732687
